行号,session_user,解析成功,解析引擎,目标列数量,原始列,目标列,query
3,leap_mlbb_gm,是,hive,4,ml_ods.gameserver_hero_skin_predict.send_stage,tag,"WITH ab AS (SELECT param_value AS tag, count(*) AS ab_row_cnt, count(DISTINCT cast(roleid AS varchar) || '_' || cast(zoneid AS varchar)) AS ab_roles FROM ml_ods.gameserver_abtest_param WHERE logymd = '2026-07-03' AND param_name = '88_LowResOrder_ai_newplayer' AND param_value IN ('control','test1','test2','test3','test4') GROUP BY param_value), pred AS (SELECT cast(send_stage AS varchar) AS tag, count(*) AS predict_logs, count(DISTINCT cast(roleid AS varchar) || '_' || cast(zoneid AS varchar)) AS predict_roles FROM ml_ods.gameserver_hero_skin_predict WHERE logymd = '2026-07-03' AND zoneid < 57000 AND hero_list IS NOT NULL GROUP BY send_stage) SELECT 'ab' AS kind, tag, ab_row_cnt AS row_cnt, ab_roles AS role_cnt FROM ab UNION ALL SELECT 'predict_stage' AS kind, tag, predict_logs AS row_cnt, predict_roles AS role_cnt FROM pred ORDER BY kind, tag LIMIT 1000"
3,leap_mlbb_gm,是,hive,4,ml_ods.gameserver_abtest_param [行级 COUNT(*)],row_cnt,"WITH ab AS (SELECT param_value AS tag, count(*) AS ab_row_cnt, count(DISTINCT cast(roleid AS varchar) || '_' || cast(zoneid AS varchar)) AS ab_roles FROM ml_ods.gameserver_abtest_param WHERE logymd = '2026-07-03' AND param_name = '88_LowResOrder_ai_newplayer' AND param_value IN ('control','test1','test2','test3','test4') GROUP BY param_value), pred AS (SELECT cast(send_stage AS varchar) AS tag, count(*) AS predict_logs, count(DISTINCT cast(roleid AS varchar) || '_' || cast(zoneid AS varchar)) AS predict_roles FROM ml_ods.gameserver_hero_skin_predict WHERE logymd = '2026-07-03' AND zoneid < 57000 AND hero_list IS NOT NULL GROUP BY send_stage) SELECT 'ab' AS kind, tag, ab_row_cnt AS row_cnt, ab_roles AS role_cnt FROM ab UNION ALL SELECT 'predict_stage' AS kind, tag, predict_logs AS row_cnt, predict_roles AS role_cnt FROM pred ORDER BY kind, tag LIMIT 1000"
3,leap_mlbb_gm,是,hive,4,ml_ods.gameserver_hero_skin_predict [行级 COUNT(*)],row_cnt,"WITH ab AS (SELECT param_value AS tag, count(*) AS ab_row_cnt, count(DISTINCT cast(roleid AS varchar) || '_' || cast(zoneid AS varchar)) AS ab_roles FROM ml_ods.gameserver_abtest_param WHERE logymd = '2026-07-03' AND param_name = '88_LowResOrder_ai_newplayer' AND param_value IN ('control','test1','test2','test3','test4') GROUP BY param_value), pred AS (SELECT cast(send_stage AS varchar) AS tag, count(*) AS predict_logs, count(DISTINCT cast(roleid AS varchar) || '_' || cast(zoneid AS varchar)) AS predict_roles FROM ml_ods.gameserver_hero_skin_predict WHERE logymd = '2026-07-03' AND zoneid < 57000 AND hero_list IS NOT NULL GROUP BY send_stage) SELECT 'ab' AS kind, tag, ab_row_cnt AS row_cnt, ab_roles AS role_cnt FROM ab UNION ALL SELECT 'predict_stage' AS kind, tag, predict_logs AS row_cnt, predict_roles AS role_cnt FROM pred ORDER BY kind, tag LIMIT 1000"
3,leap_mlbb_gm,是,hive,4,ml_ods.gameserver_abtest_param.zoneid,role_cnt,"WITH ab AS (SELECT param_value AS tag, count(*) AS ab_row_cnt, count(DISTINCT cast(roleid AS varchar) || '_' || cast(zoneid AS varchar)) AS ab_roles FROM ml_ods.gameserver_abtest_param WHERE logymd = '2026-07-03' AND param_name = '88_LowResOrder_ai_newplayer' AND param_value IN ('control','test1','test2','test3','test4') GROUP BY param_value), pred AS (SELECT cast(send_stage AS varchar) AS tag, count(*) AS predict_logs, count(DISTINCT cast(roleid AS varchar) || '_' || cast(zoneid AS varchar)) AS predict_roles FROM ml_ods.gameserver_hero_skin_predict WHERE logymd = '2026-07-03' AND zoneid < 57000 AND hero_list IS NOT NULL GROUP BY send_stage) SELECT 'ab' AS kind, tag, ab_row_cnt AS row_cnt, ab_roles AS role_cnt FROM ab UNION ALL SELECT 'predict_stage' AS kind, tag, predict_logs AS row_cnt, predict_roles AS role_cnt FROM pred ORDER BY kind, tag LIMIT 1000"
3,leap_mlbb_gm,是,hive,4,ml_ods.gameserver_abtest_param.roleid,role_cnt,"WITH ab AS (SELECT param_value AS tag, count(*) AS ab_row_cnt, count(DISTINCT cast(roleid AS varchar) || '_' || cast(zoneid AS varchar)) AS ab_roles FROM ml_ods.gameserver_abtest_param WHERE logymd = '2026-07-03' AND param_name = '88_LowResOrder_ai_newplayer' AND param_value IN ('control','test1','test2','test3','test4') GROUP BY param_value), pred AS (SELECT cast(send_stage AS varchar) AS tag, count(*) AS predict_logs, count(DISTINCT cast(roleid AS varchar) || '_' || cast(zoneid AS varchar)) AS predict_roles FROM ml_ods.gameserver_hero_skin_predict WHERE logymd = '2026-07-03' AND zoneid < 57000 AND hero_list IS NOT NULL GROUP BY send_stage) SELECT 'ab' AS kind, tag, ab_row_cnt AS row_cnt, ab_roles AS role_cnt FROM ab UNION ALL SELECT 'predict_stage' AS kind, tag, predict_logs AS row_cnt, predict_roles AS role_cnt FROM pred ORDER BY kind, tag LIMIT 1000"
3,leap_mlbb_gm,是,hive,4,ml_ods.gameserver_hero_skin_predict.zoneid,role_cnt,"WITH ab AS (SELECT param_value AS tag, count(*) AS ab_row_cnt, count(DISTINCT cast(roleid AS varchar) || '_' || cast(zoneid AS varchar)) AS ab_roles FROM ml_ods.gameserver_abtest_param WHERE logymd = '2026-07-03' AND param_name = '88_LowResOrder_ai_newplayer' AND param_value IN ('control','test1','test2','test3','test4') GROUP BY param_value), pred AS (SELECT cast(send_stage AS varchar) AS tag, count(*) AS predict_logs, count(DISTINCT cast(roleid AS varchar) || '_' || cast(zoneid AS varchar)) AS predict_roles FROM ml_ods.gameserver_hero_skin_predict WHERE logymd = '2026-07-03' AND zoneid < 57000 AND hero_list IS NOT NULL GROUP BY send_stage) SELECT 'ab' AS kind, tag, ab_row_cnt AS row_cnt, ab_roles AS role_cnt FROM ab UNION ALL SELECT 'predict_stage' AS kind, tag, predict_logs AS row_cnt, predict_roles AS role_cnt FROM pred ORDER BY kind, tag LIMIT 1000"
3,leap_mlbb_gm,是,hive,4,ml_ods.gameserver_hero_skin_predict.roleid,role_cnt,"WITH ab AS (SELECT param_value AS tag, count(*) AS ab_row_cnt, count(DISTINCT cast(roleid AS varchar) || '_' || cast(zoneid AS varchar)) AS ab_roles FROM ml_ods.gameserver_abtest_param WHERE logymd = '2026-07-03' AND param_name = '88_LowResOrder_ai_newplayer' AND param_value IN ('control','test1','test2','test3','test4') GROUP BY param_value), pred AS (SELECT cast(send_stage AS varchar) AS tag, count(*) AS predict_logs, count(DISTINCT cast(roleid AS varchar) || '_' || cast(zoneid AS varchar)) AS predict_roles FROM ml_ods.gameserver_hero_skin_predict WHERE logymd = '2026-07-03' AND zoneid < 57000 AND hero_list IS NOT NULL GROUP BY send_stage) SELECT 'ab' AS kind, tag, ab_row_cnt AS row_cnt, ab_roles AS role_cnt FROM ab UNION ALL SELECT 'predict_stage' AS kind, tag, predict_logs AS row_cnt, predict_roles AS role_cnt FROM pred ORDER BY kind, tag LIMIT 1000"
4,leap_mlbb_gm,是,hive,2,mt_ods.external_partners_df.zone_id,zone_id,"select zone_id, pid from mt_ods.external_partners_df where logymd = '2026-07-05' limit 50000"
4,leap_mlbb_gm,是,hive,2,mt_ods.external_partners_df.pid,pid,"select zone_id, pid from mt_ods.external_partners_df where logymd = '2026-07-05' limit 50000"
5,leap_mlbb_gm,是,hive,2,mt_dim.mlbb_employee_benefits_detail.zoneid,zoneid,"select zoneid, roleid from mt_dim.mlbb_employee_benefits_detail where logymd = '2026-07-05' limit 20000"
5,leap_mlbb_gm,是,hive,2,mt_dim.mlbb_employee_benefits_detail.roleid,roleid,"select zoneid, roleid from mt_dim.mlbb_employee_benefits_detail where logymd = '2026-07-05' limit 20000"
